feature,A,B,C,Ch,D,E,K,L,M,O,P,Q,R,S,V,X,Z,A_upper,B_upper,C_upper,Ch_upper,D_upper,E_upper,K_upper,L_upper,M_upper,O_upper,P_upper,Q_upper,R_upper,S_upper,V_upper,X_upper,Z_upper,A_lower,B_lower,C_lower,Ch_lower,D_lower,E_lower,K_lower,L_lower,M_lower,O_lower,P_lower,Q_lower,R_lower,S_lower,V_lower,X_lower,Z_lower
1.15,1.1505,0.8737,0.9981,1.0428,1.5359,1.2836,1.065,1.2552,1.2244,0.8257,1.1431,0.9553,1.122,1.2096,1.3713,1.2034,1.6748,0.1039,0.0551,0.042,0.059,0.0738,0.0421,0.0471,0.0486,0.0539,0.0635,0.0421,0.0481,0.0765,0.0727,0.1142,0.0504,0.021,-0.1039,-0.0551,-0.042,-0.059,-0.0738,-0.0421,-0.0471,-0.0486,-0.0539,-0.0635,-0.0421,-0.0481,-0.0765,-0.0727,-0.1142,-0.0504,-0.021
1.2,1.222,0.8702,1.0026,1.05,1.572,1.2909,1.0737,1.2716,1.2395,0.9111,1.1566,0.9864,1.1768,1.2471,1.4458,1.22,1.7311,0.1064,0.0521,0.041,0.0551,0.0697,0.0391,0.0432,0.0416,0.0494,0.0383,0.0393,0.046,0.0799,0.0689,0.1221,0.0477,0.021,-0.1064,-0.0521,-0.041,-0.0551,-0.0697,-0.0391,-0.0432,-0.0416,-0.0494,-0.0383,-0.0393,-0.046,-0.0799,-0.0689,-0.1221,-0.0477,-0.021
1.25,1.2925,0.8675,1.0075,1.0569,1.6058,1.2969,1.081,1.2857,1.2538,0.991,1.17,1.0139,1.2238,1.2798,1.5035,1.2352,1.7846,0.108,0.0495,0.0398,0.0513,0.065,0.036,0.0403,0.0364,0.0448,0.019,0.0363,0.0433,0.0764,0.064,0.1269,0.0446,0.0208,-0.108,-0.0495,-0.0398,-0.0513,-0.065,-0.036,-0.0403,-0.0364,-0.0448,-0.019,-0.0363,-0.0433,-0.0764,-0.064,-0.1269,-0.0446,-0.0208
1.3,1.374,0.8653,1.0127,1.0632,1.6372,1.3028,1.0883,1.2966,1.2673,1.0535,1.1832,1.0399,1.2661,1.3106,1.548,1.2499,1.8361,0.1041,0.0474,0.0384,0.0469,0.0594,0.0336,0.0371,0.0329,0.0409,0.0235,0.0331,0.041,0.0708,0.0588,0.1263,0.0421,0.0206,-0.1041,-0.0474,-0.0384,-0.0469,-0.0594,-0.0336,-0.0371,-0.0329,-0.0409,-0.0235,-0.0331,-0.041,-0.0708,-0.0588,-0.1263,-0.0421,-0.0206
1.35,1.469,0.864,1.0184,1.069,1.6667,1.307,1.0956,1.3038,1.28,1.1012,1.1962,1.0661,1.3061,1.3414,1.5763,1.2638,1.8856,0.0978,0.0443,0.0358,0.0424,0.0526,0.0311,0.0334,0.0271,0.0369,0.0359,0.0295,0.0383,0.0637,0.0535,0.1214,0.0393,0.0199,-0.0978,-0.0443,-0.0358,-0.0424,-0.0526,-0.0311,-0.0334,-0.0271,-0.0369,-0.0359,-0.0295,-0.0383,-0.0637,-0.0535,-0.1214,-0.0393,-0.0199
1.4,1.5646,0.8634,1.0231,1.0735,1.6923,1.3099,1.101,1.3106,1.2898,1.1287,1.2074,1.0884,1.3363,1.3665,1.5832,1.2753,1.928,0.09,0.0418,0.0338,0.0384,0.0457,0.0292,0.0303,0.0252,0.0348,0.0395,0.0264,0.0359,0.0623,0.0482,0.1121,0.0375,0.019,-0.09,-0.0418,-0.0338,-0.0384,-0.0457,-0.0292,-0.0303,-0.0252,-0.0348,-0.0395,-0.0264,-0.0359,-0.0623,-0.0482,-0.1121,-0.0375,-0.019
1.45,1.6769,0.8622,1.0283,1.0782,1.7188,1.3124,1.1056,1.3171,1.3003,1.1445,1.2199,1.111,1.3639,1.3908,1.5675,1.2888,1.9751,0.0821,0.039,0.0307,0.0341,0.0384,0.0262,0.0271,0.0243,0.0316,0.0324,0.0231,0.0324,0.0592,0.0421,0.0957,0.0344,0.0173,-0.0821,-0.039,-0.0307,-0.0341,-0.0384,-0.0262,-0.0271,-0.0243,-0.0316,-0.0324,-0.0231,-0.0324,-0.0592,-0.0421,-0.0957,-0.0344,-0.0173
1.5,1.7828,0.8608,1.0334,1.0821,1.7441,1.3151,1.1095,1.3203,1.3097,1.1532,1.2326,1.1273,1.3801,1.4078,1.5256,1.3016,2.0205,0.0732,0.0345,0.0275,0.0301,0.0306,0.0241,0.0243,0.0236,0.0285,0.0293,0.0199,0.0294,0.056,0.036,0.0746,0.0316,0.0153,-0.0732,-0.0345,-0.0275,-0.0301,-0.0306,-0.0241,-0.0243,-0.0236,-0.0285,-0.0293,-0.0199,-0.0294,-0.056,-0.036,-0.0746,-0.0316,-0.0153
1.55,1.8698,0.86,1.0385,1.0858,1.768,1.3167,1.1121,1.3205,1.3189,1.1514,1.245,1.1352,1.3825,1.4155,1.4588,1.313,2.0639,0.0626,0.029,0.024,0.0263,0.0231,0.0213,0.0225,0.0226,0.0255,0.0238,0.0169,0.0265,0.0518,0.0304,0.0532,0.0288,0.0137,-0.0626,-0.029,-0.024,-0.0263,-0.0231,-0.0213,-0.0225,-0.0226,-0.0255,-0.0238,-0.0169,-0.0265,-0.0518,-0.0304,-0.0532,-0.0288,-0.0137
1.6,1.9286,0.8597,1.0431,1.089,1.79,1.3186,1.1131,1.3181,1.3263,1.1418,1.2567,1.1344,1.3685,1.4131,1.3783,1.3239,2.1057,0.0544,0.0239,0.0207,0.0228,0.0159,0.0184,0.0219,0.0203,0.022,0.0208,0.0146,0.0234,0.0401,0.0255,0.0408,0.0243,0.0137,-0.0544,-0.0239,-0.0207,-0.0228,-0.0159,-0.0184,-0.0219,-0.0203,-0.022,-0.0208,-0.0146,-0.0234,-0.0401,-0.0255,-0.0408,-0.0243,-0.0137
1.65,1.9615,0.8596,1.0469,1.0915,1.8105,1.3211,1.1125,1.3125,1.332,1.128,1.2679,1.1254,1.3421,1.4031,1.2957,1.3339,2.1449,0.0479,0.0183,0.0171,0.0191,0.0098,0.0163,0.0197,0.0171,0.0182,0.0151,0.0128,0.0199,0.0283,0.022,0.0399,0.02,0.0146,-0.0479,-0.0183,-0.0171,-0.0191,-0.0098,-0.0163,-0.0197,-0.0171,-0.0182,-0.0151,-0.0128,-0.0199,-0.0283,-0.022,-0.0399,-0.02,-0.0146
1.7,1.9831,0.8589,1.051,1.0947,1.8304,1.323,1.1119,1.3043,1.3371,1.1091,1.2786,1.1106,1.3056,1.3883,1.2183,1.342,2.1811,0.0306,0.0139,0.0135,0.0148,0.0071,0.0148,0.0158,0.0153,0.0143,0.0081,0.0119,0.0168,0.019,0.0205,0.045,0.0157,0.0152,-0.0306,-0.0139,-0.0135,-0.0148,-0.0071,-0.0148,-0.0158,-0.0153,-0.0143,-0.0081,-0.0119,-0.0168,-0.019,-0.0205,-0.045,-0.0157,-0.0152
1.75,1.9883,0.858,1.0552,1.0969,1.8493,1.3247,1.1107,1.2961,1.3423,1.0896,1.2888,1.0947,1.2748,1.3726,1.1503,1.3498,2.2155,0.0263,0.0128,0.0117,0.0121,0.0091,0.0132,0.0139,0.0149,0.0119,0.0014,0.0114,0.0152,0.017,0.0214,0.0523,0.0129,0.0162,-0.0263,-0.0128,-0.0117,-0.0121,-0.0091,-0.0132,-0.0139,-0.0149,-0.0119,-0.0014,-0.0114,-0.0152,-0.017,-0.0214,-0.0523,-0.0129,-0.0162
1.8,1.9885,0.8575,1.0589,1.0992,1.8674,1.3263,1.1092,1.2874,1.3465,1.0697,1.2985,1.0791,1.2507,1.3584,1.0928,1.3568,2.2487,0.0252,0.0156,0.0121,0.0108,0.0137,0.0116,0.013,0.0159,0.0103,0.01,0.0117,0.0156,0.019,0.0228,0.0598,0.0107,0.018,-0.0252,-0.0156,-0.0121,-0.0108,-0.0137,-0.0116,-0.013,-0.0159,-0.0103,-0.01,-0.0117,-0.0156,-0.019,-0.0228,-0.0598,-0.0107,-0.018
1.85,1.9868,0.8573,1.0628,1.1013,1.8841,1.3282,1.1089,1.2808,1.3502,1.0551,1.3079,1.0671,1.2378,1.3488,1.0503,1.3635,2.2791,0.026,0.0192,0.0138,0.0112,0.0179,0.0106,0.0121,0.0184,0.0099,0.0172,0.0133,0.0166,0.0236,0.0246,0.0658,0.0124,0.02,-0.026,-0.0192,-0.0138,-0.0112,-0.0179,-0.0106,-0.0121,-0.0184,-0.0099,-0.0172,-0.0133,-0.0166,-0.0236,-0.0246,-0.0658,-0.0124,-0.02
1.9,1.9842,0.8573,1.0666,1.1036,1.9001,1.3293,1.1084,1.2758,1.3537,1.0403,1.3168,1.0582,1.2273,1.3432,1.0272,1.3699,2.307,0.0258,0.0207,0.0158,0.0124,0.0213,0.0112,0.0131,0.02,0.0108,0.0276,0.0147,0.0173,0.0282,0.0257,0.0678,0.0161,0.0221,-0.0258,-0.0207,-0.0158,-0.0124,-0.0213,-0.0112,-0.0131,-0.02,-0.0108,-0.0276,-0.0147,-0.0173,-0.0282,-0.0257,-0.0678,-0.0161,-0.0221
1.95,1.9823,0.8578,1.0713,1.1064,1.9176,1.3307,1.1087,1.2716,1.3582,1.0286,1.3265,1.0519,1.223,1.3408,1.0216,1.3776,2.3364,0.0245,0.0233,0.0181,0.0147,0.0235,0.011,0.0152,0.0226,0.0132,0.035,0.017,0.018,0.0342,0.0262,0.0643,0.0212,0.0257,-0.0245,-0.0233,-0.0181,-0.0147,-0.0235,-0.011,-0.0152,-0.0226,-0.0132,-0.035,-0.017,-0.018,-0.0342,-0.0262,-0.0643,-0.0212,-0.0257
2.0,1.985,0.8584,1.0765,1.1091,1.9364,1.3329,1.1093,1.2689,1.3625,1.024,1.3365,1.0507,1.2222,1.3438,1.0311,1.3859,2.3667,0.0218,0.0259,0.0207,0.0179,0.0249,0.0102,0.018,0.0253,0.0156,0.0439,0.0204,0.0191,0.0418,0.0264,0.0592,0.0261,0.0314,-0.0218,-0.0259,-0.0207,-0.0179,-0.0249,-0.0102,-0.018,-0.0253,-0.0156,-0.0439,-0.0204,-0.0191,-0.0418,-0.0264,-0.0592,-0.0261,-0.0314
2.05,1.994,0.8593,1.0823,1.1118,1.9553,1.3343,1.1107,1.2684,1.3669,1.025,1.3467,1.0537,1.2301,1.3512,1.0567,1.3948,2.3974,0.0204,0.0284,0.0232,0.0207,0.0261,0.0105,0.0201,0.0285,0.0187,0.0486,0.0231,0.0201,0.0463,0.0257,0.0559,0.0299,0.0371,-0.0204,-0.0284,-0.0232,-0.0207,-0.0261,-0.0105,-0.0201,-0.0285,-0.0187,-0.0486,-0.0231,-0.0201,-0.0463,-0.0257,-0.0559,-0.0299,-0.0371
2.1,2.0107,0.8624,1.0881,1.115,1.9745,1.3365,1.1117,1.2716,1.3721,1.0362,1.3572,1.0612,1.2471,1.3631,1.1002,1.4038,2.4308,0.0209,0.0255,0.0266,0.024,0.0276,0.013,0.0218,0.0286,0.0226,0.0456,0.0268,0.0232,0.0516,0.0265,0.0556,0.035,0.0424,-0.0209,-0.0255,-0.0266,-0.024,-0.0276,-0.013,-0.0218,-0.0286,-0.0226,-0.0456,-0.0268,-0.0232,-0.0516,-0.0265,-0.0556,-0.035,-0.0424
2.15,2.029,0.8643,1.0929,1.1178,1.9939,1.338,1.1115,1.2733,1.3764,1.0533,1.3673,1.0695,1.2692,1.3754,1.158,1.4135,2.4591,0.027,0.0297,0.0295,0.0271,0.0294,0.0154,0.0229,0.0329,0.0266,0.0426,0.0309,0.0267,0.0573,0.0283,0.0581,0.0413,0.0494,-0.027,-0.0297,-0.0295,-0.0271,-0.0294,-0.0154,-0.0229,-0.0329,-0.0266,-0.0426,-0.0309,-0.0267,-0.0573,-0.0283,-0.0581,-0.0413,-0.0494
2.2,2.0469,0.8662,1.098,1.1202,2.0117,1.338,1.1115,1.2753,1.3826,1.0667,1.3761,1.079,1.2919,1.3862,1.2213,1.4231,2.4881,0.0347,0.035,0.0334,0.0301,0.0308,0.0168,0.0253,0.0372,0.0303,0.0414,0.0343,0.0315,0.0622,0.0307,0.0645,0.0502,0.0574,-0.0347,-0.035,-0.0334,-0.0301,-0.0308,-0.0168,-0.0253,-0.0372,-0.0303,-0.0414,-0.0343,-0.0315,-0.0622,-0.0307,-0.0645,-0.0502,-0.0574
2.25,2.0645,0.868,1.1025,1.1215,2.0277,1.3382,1.1114,1.2784,1.3875,1.0761,1.3858,1.0883,1.3129,1.3961,1.2871,1.4355,2.5134,0.0432,0.0417,0.0367,0.0333,0.0321,0.0188,0.0273,0.0415,0.0344,0.0519,0.0378,0.0361,0.0687,0.0344,0.0707,0.0604,0.0657,-0.0432,-0.0417,-0.0367,-0.0333,-0.0321,-0.0188,-0.0273,-0.0415,-0.0344,-0.0519,-0.0378,-0.0361,-0.0687,-0.0344,-0.0707,-0.0604,-0.0657
2.3,2.0795,0.8675,1.1062,1.1228,2.0432,1.3382,1.1115,1.2768,1.3906,1.0823,1.3918,1.097,1.3311,1.4028,1.3516,1.4418,2.5375,0.0511,0.0461,0.0389,0.0374,0.0318,0.0227,0.03,0.0421,0.038,0.0628,0.0376,0.0403,0.0615,0.0357,0.0823,0.0526,0.0743,-0.0511,-0.0461,-0.0389,-0.0374,-0.0318,-0.0227,-0.03,-0.0421,-0.038,-0.0628,-0.0376,-0.0403,-0.0615,-0.0357,-0.0823,-0.0526,-0.0743
2.35,2.098,0.8684,1.1095,1.1235,2.0605,1.3368,1.1118,1.2769,1.3951,1.0939,1.3994,1.1053,1.3382,1.4096,1.4098,1.4488,2.5651,0.0569,0.0538,0.0401,0.0418,0.0344,0.027,0.0336,0.045,0.0387,0.0599,0.0402,0.0462,0.0502,0.0388,0.0965,0.0542,0.0812,-0.0569,-0.0538,-0.0401,-0.0418,-0.0344,-0.027,-0.0336,-0.045,-0.0387,-0.0599,-0.0402,-0.0462,-0.0502,-0.0388,-0.0965,-0.0542,-0.0812
2.4,2.1137,0.8697,1.1135,1.1262,2.0772,1.3337,1.1094,1.2757,1.3995,1.1287,1.4075,1.1123,1.3555,1.4161,1.4646,1.4586,2.5888,0.0635,0.0619,0.0441,0.0467,0.0376,0.0317,0.0322,0.0489,0.0428,0.069,0.043,0.0506,0.0594,0.0424,0.1137,0.0632,0.0903,-0.0635,-0.0619,-0.0441,-0.0467,-0.0376,-0.0317,-0.0322,-0.0489,-0.0428,-0.069,-0.043,-0.0506,-0.0594,-0.0424,-0.1137,-0.0632,-0.0903
2.45,2.1286,0.8675,1.118,1.1292,2.0916,1.329,1.1099,1.2771,1.4051,1.1537,1.415,1.1201,1.3677,1.4235,1.512,1.4694,2.611,0.0695,0.0643,0.0494,0.0497,0.0431,0.0397,0.0361,0.052,0.0458,0.073,0.0452,0.054,0.0572,0.0444,0.1296,0.0729,0.0875,-0.0695,-0.0643,-0.0494,-0.0497,-0.0431,-0.0397,-0.0361,-0.052,-0.0458,-0.073,-0.0452,-0.054,-0.0572,-0.0444,-0.1296,-0.0729,-0.0875
pV,0.253,0.0625,0.0512,0.0506,0.0575,0.5452,0.131,0.1822,0.1369,0.2569,0.0488,0.2389,0.3019,0.2392,0.2903,,0.0725,0.0888,0.0528,0.021,0.0167,0.0258,0.1409,0.0362,0.0664,0.0522,0.0217,0.0202,0.1191,0.0461,0.1031,0.1125,,0.0438,-0.0657,-0.0286,-0.0149,-0.0126,-0.0178,-0.1119,-0.0283,-0.0487,-0.0378,-0.02,-0.0143,-0.0795,-0.04,-0.0721,-0.0811,,-0.0273
