designation,class_bus,class_demeo,slope,PC1,PC2,PC3,PC4,PC5,name,number,class_
1036,S,Sr,0.1217,0.3906,-0.0041,-0.0157,0.0087,0.031,Ganymed,1036.0,S
1065,S,S,0.2303,0.0672,-0.0003,0.1669,-0.0086,-0.0101,Amundsenia,1065.0,S
1094,Xk,Xk,0.2185,0.0318,-0.1897,-0.099,0.0497,-0.0212,Siberia,1094.0,Xk
1126,A,Sw,0.3941,0.241,-0.0503,0.2384,0.013,0.0301,Otero,1126.0,Sw
1131,S,S,0.148,0.1474,-0.0673,0.1983,-0.0362,-0.005,Porzia,1131.0,S
1139,S,Sw,0.3114,-0.0401,0.0462,0.2062,0.0016,-0.0152,Atami,1139.0,Sw
1143,,D,0.7547,0.0654,-0.2636,-0.0978,0.1332,-0.0107,Odysseus,1143.0,D
1147,S,Sw,0.2828,0.041,-0.0232,0.1653,-0.0255,0.0267,Stavropolis,1147.0,Sw
1148,K,K,0.1189,-0.2024,-0.1099,0.0499,-0.0615,0.0004,Rarahu,1148.0,K
1198,,Sw,0.3904,0.3122,-0.1438,-0.0191,0.0827,-0.0193,Atlantis,1198.0,Sw
1204,S,Sw,0.2876,-0.0614,0.0101,0.1076,0.0413,-0.0186,Renzia,1204.0,Sw
1228,S,Sr,0.2048,0.2914,0.0708,0.0311,0.0319,0.0398,Scabiosa,1228.0,Sr
1300,Cg,Cg,0.1054,-0.2599,-0.0818,-0.0837,0.0223,0.0834,Marcelle,1300.0,Cgh
1329,S,Sqw,0.3086,-0.1273,0.0168,0.1732,-0.0082,0.015,Eliane,1329.0,Sqw
1332,Ld,L,0.1529,0.0813,-0.3061,-0.1331,-0.3096,-0.0867,Marconia,1332.0,L
1350,Sa,S,0.2257,0.3398,-0.1171,0.0641,-0.1238,0.0803,Rosselia,1350.0,S
1374,Sq,Sq,0.1482,-0.3566,0.117,0.1614,0.0002,0.0058,Isora,1374.0,Sq
1433,S,S,0.1563,-0.0107,0.0712,0.0725,0.0117,0.0271,Geramtina,1433.0,S
1459,,Vw,0.3246,0.3316,1.306,-0.2959,-0.2269,-0.1211,Magnya,1459.0,Vw
1471,T,D,0.778,-0.3535,-0.0673,-0.1656,0.0479,0.006,Tornio,1471.0,D
1494,Sa,Sqw,0.3476,-0.132,0.0756,0.2302,-0.0403,0.0252,Savo,1494.0,Sqw
1508,C,B,-0.0249,-0.4553,-0.0766,-0.1418,-0.069,-0.0088,Kemi,1508.0,B
1542,D,D,0.721,0.1271,-0.1903,-0.1536,0.1144,0.0121,Schalen,1542.0,D
1565,Sq,S,0.0735,-0.0435,0.089,-0.1931,-0.1628,0.126,Lemaitre,1565.0,S
1620,S,S,0.1637,-0.0288,0.0273,0.1421,0.0505,-0.0231,Geographos,1620.0,S
1640,S,S,0.1595,0.0811,-0.0334,0.0752,0.0067,-0.0353,Nemo,1640.0,S
1642,S,S,0.0905,0.4415,-0.0859,0.03,-0.0789,0.0501,Hill,1642.0,S
1658,,S,0.2413,0.524,-0.1647,0.0594,0.076,-0.1031,Innes,1658.0,Sw
1659,S,S,0.1635,0.3504,-0.0797,-0.0459,0.0492,-0.0312,Punkaharju,1659.0,S
1660,S,S,0.1779,0.2259,-0.0131,0.0062,0.0255,0.0337,Wood,1660.0,S
1662,Sr,Sr,0.1815,0.495,-0.0014,0.0852,-0.0094,0.061,Hoffmann,1662.0,Sr
1667,Sa,Sw,0.3046,0.2717,-0.0619,0.2316,0.018,0.0174,Pels,1667.0,Sw
1685,S,S,0.0941,-0.0566,0.0256,0.133,-0.023,-0.0037,Toro,1685.0,Sq
1751,S,S,0.1143,0.315,-0.1147,0.002,-0.0945,-0.0117,Herget,1751.0,S
1807,S,Sqw,0.338,-0.2285,0.1384,0.0738,0.0275,-0.0119,Slovakia,1807.0,Sqw
1839,S,S,0.0519,0.1526,0.0026,0.0323,-0.1107,-0.0174,Ragazza,1839.0,S
1848,S,S,0.1435,0.2404,-0.0564,0.0716,-0.1098,0.0726,Delvaux,1848.0,S
1858,L,S,0.1504,0.5822,-0.2625,0.0029,0.0101,0.0387,Lobachevskij,1858.0,S
1862,Q,Q,0.1132,-0.4924,0.1862,0.2229,-0.0743,-0.0133,Apollo,1862.0,Q
1864,Sr,Sq,0.0528,-0.2706,0.1082,0.1794,-0.0888,0.0619,Daedalus,1864.0,Sq
1866,S,Sw,0.3453,0.07,-0.0057,0.07,-0.0052,0.051,Sisyphus,1866.0,Sw
1903,K,K,0.1249,-0.0241,-0.1681,-0.0055,-0.0425,-0.0199,Adzhimushkaj,1903.0,K
1904,R,V,0.1483,0.2755,0.5257,-0.0271,-0.0874,-0.0654,Massevitch,1904.0,V
1916,,Sw,0.3902,-0.0124,0.0565,0.0945,0.0145,-0.0035,Boreas,1916.0,Sw
1929,V,V,0.2193,1.0772,0.915,-0.0068,0.0364,-0.0233,Kollaa,1929.0,V
1943,,Sw,0.2732,0.174,-0.0746,0.0776,0.0524,0.0061,Anteros,1943.0,Sw
1980,Sl,Sw,0.4071,-0.0144,0.0523,0.1891,0.0235,0.0373,Tezcatlipoca,1980.0,Sw
2035,Xe,Xe,0.0876,0.1472,-0.2595,-0.0942,-0.0104,0.03,Stearns,2035.0,Xe
2042,Sq,Sr,0.08,0.189,0.0736,-0.0102,-0.0016,0.0046,Sitarski,2042.0,Sr
2045,V,V,0.1814,0.7055,0.8418,-0.0965,0.0756,-0.0684,Peking,2045.0,V
2063,Sq,Sq,0.07,-0.3144,0.066,0.1375,-0.0653,0.0226,Bacchus,2063.0,Sq
2064,S,Sqw,0.2569,-0.1839,0.0195,0.1767,0.0041,0.0066,Thomsen,2064.0,Sqw
2074,,Sq,0.4562,0.1019,0.044,0.1746,0.0269,-0.0534,Shoemaker,2074.0,Sw
2085,L,L,0.0454,0.446,-0.3548,-0.0183,-0.0488,-0.0129,Henan,2085.0,L
2099,Ch,Ch,0.1207,-0.5875,0.0166,-0.1875,0.0193,-0.0002,Opik,2099.0,Ch
2107,S,S,0.2481,0.058,-0.0705,0.0931,-0.0806,0.0095,Ilmari,2107.0,Sw
2157,S,S,0.1897,0.199,-0.0655,0.0722,-0.0001,0.0245,Ashbrook,2157.0,S
2246,D,D,0.5312,0.2511,-0.211,-0.1341,0.1233,0.0023,Bowell,2246.0,D
2335,,S,0.2315,0.2507,-0.0416,0.052,-0.0771,0.0458,James,2335.0,S
2353,S,S,0.0935,0.3713,-0.0718,-0.0252,0.0137,0.0303,Alva,2353.0,S
2354,L,L,0.0775,0.661,-0.3559,0.0723,-0.0512,0.0024,Lavrov,2354.0,L
2378,Cgh,Cgh,0.0583,-0.5495,0.0086,-0.1693,-0.0034,0.0288,Pannekoek,2378.0,Cgh
2386,S,S,0.1774,0.2766,-0.0508,0.0422,0.0113,0.0136,Nikonov,2386.0,S
2396,Sa,S,0.1849,0.2953,-0.1191,0.175,-0.0343,0.0169,Kochi,2396.0,S
2401,S,S,0.1744,0.2766,0.02,-0.0249,-0.0367,-0.0399,Aehlita,2401.0,S
2442,,V,0.1571,0.8876,0.9743,-0.2123,-0.01,-0.0243,Corbett,2442.0,V
2448,L,L,0.3125,0.4253,-0.3012,-0.0427,0.0606,0.0336,Sholokhov,2448.0,L
2501,A,A,0.8437,-0.6265,0.0916,0.6472,0.1271,-0.0803,Lohja,2501.0,A
2504,Sq,Sr,0.1126,0.0951,0.0954,-0.0293,0.0582,0.0279,Gaviola,2504.0,Sr
2521,S,S,0.0789,0.0866,-0.009,0.0278,-0.0296,-0.0044,Heidi,2521.0,S
2566,V,V,0.0441,0.7136,0.8479,-0.1093,0.0515,-0.0638,Kirghizia,2566.0,V
2579,V,V,0.0889,0.3419,0.8659,0.2123,0.0075,-0.1497,Spartacus,2579.0,V
2715,A,Sw,0.3118,0.3235,-0.1613,0.2232,-0.0447,-0.0086,Mielikki,2715.0,Sw
2732,A,L,0.2002,0.7163,-0.3427,0.1762,-0.1555,0.0295,Witt,2732.0,L
2851,V,V,0.1538,0.6727,0.9608,-0.1887,-0.2213,0.0734,Harbin,2851.0,V
2873,Sq,Sq,0.1345,-0.1752,0.1131,0.1473,0.0673,-0.0298,Binzel,2873.0,Sq
2875,S,S,0.1293,0.2965,-0.0846,0.0667,-0.0463,0.0142,Lagerkvist,2875.0,S
2911,S,Sw,0.2679,0.2209,-0.0071,0.091,0.0362,0.0121,Miahelena,2911.0,Sw
2912,V,V,0.1982,0.6001,1.1117,-0.2085,-0.0381,0.0291,Lapalma,2912.0,V
2957,K,K,0.1449,0.0173,-0.1566,-0.0374,-0.0121,-0.0254,Tatsuo,2957.0,K
2965,,Sv,0.1904,0.6981,0.0147,-0.0233,0.0985,0.0146,Surikov,2965.0,Sv
2977,S,S,0.1668,0.2776,-0.069,0.035,-0.0031,0.0122,Chivilikhin,2977.0,S
3028,K,K,0.0103,-0.1513,-0.1396,-0.0696,-0.1012,-0.0266,Zhangguoxi,3028.0,K
3102,,Sqw,0.2604,-0.228,0.0881,0.1889,-0.0515,-0.0098,Krok,3102.0,Sqw
3103,Xe,Xe,0.1303,0.2177,-0.2795,-0.0829,-0.0694,0.0452,Eger,3103.0,Xe
3122,S,Qw,0.3829,-0.3772,0.1962,0.2076,0.058,-0.0115,Florence,3122.0,Sqw
3155,V,V,0.0533,1.1248,0.8416,-0.3899,-0.1176,0.1033,Lee,3155.0,V
3198,S,Sqw,0.3354,-0.1666,0.049,0.2175,0.1583,-0.0899,Wallonia,3198.0,Sqw
3199,Sq,K,0.2273,-0.6353,0.0481,0.1171,0.0337,0.0088,Nefertiti,3199.0,K
3200,B,B,-0.1626,-1.0224,0.1534,-0.2026,-0.1287,-0.0123,Phaethon,3200.0,B
3248,D,D,0.4834,0.3439,-0.2783,-0.1477,0.0552,0.0161,Farinella,3248.0,D
3255,S,S,0.0995,0.1948,0.0432,0.0164,0.0118,0.0365,Tholen,3255.0,S
3317,T,D,0.5051,-0.0303,-0.1559,-0.115,0.113,-0.0036,Paris,3317.0,D
3363,Sq,Sr,0.1822,-0.1342,0.1633,0.0017,0.0243,0.042,Bowen,3363.0,Sr
3395,Sr,S,0.166,0.1479,0.0625,0.0421,0.0495,0.0724,Jitka,3395.0,S
3402,,S,0.2381,0.2431,-0.0662,0.1002,-0.0218,-0.0368,Wisdom,3402.0,S
3430,Sq,S,0.086,0.2024,0.0258,-0.0155,0.0458,0.0283,Bradfield,3430.0,S
3491,Sq,S,0.0196,0.1475,0.0507,-0.0419,-0.0231,0.0199,Fridolin,3491.0,S
3511,S,Srw,0.3246,0.0134,0.1181,0.0887,0.0018,0.0191,Tsvetaeva,3511.0,Srw
3628,O,O,0.0572,-0.79,0.5696,0.3075,0.1764,-0.1059,Boznemcova,3628.0,O
3635,S,Srw,0.2767,0.1795,0.1094,0.0258,0.0407,0.0055,Kreutz,3635.0,Srw
3701,S,S,0.1225,0.2605,-0.0192,-0.0132,-0.0652,0.0051,Purkyne,3701.0,S
3734,Ld,L,0.0807,0.7779,-0.4665,0.021,-0.0144,-0.0224,Waland,3734.0,L
3753,Q,Q,0.2115,-0.5643,0.2866,0.0835,0.0046,-0.0157,Cruithne,3753.0,Q
3788,S,S,0.2012,0.2111,-0.0168,0.0719,0.0036,-0.0033,Steyaert,3788.0,S
3844,L,L,0.0026,0.6056,-0.3788,-0.033,-0.0933,-0.0427,Lujiaxi,3844.0,L
3858,Sa,Srw,0.268,-0.0163,0.14,0.3209,-0.1941,0.1521,Dorchester,3858.0,Srw
3873,S,Sw,0.2665,0.0244,0.0483,0.0577,0.0638,-0.009,Roddy,3873.0,Sw
3903,Sq,S,0.0416,-0.0145,0.0422,-0.0252,-0.0171,0.0191,Kliment Ohridski,3903.0,S
3908,,V,-0.0188,0.5903,1.3071,-0.3046,0.0383,0.0846,Nyx,3908.0,V
3910,S,S,0.2282,0.1284,-0.0008,0.0866,-0.0237,0.0239,Liszt,3910.0,S
3920,Sa,Sqw,0.3459,-0.1114,0.072,0.2198,-0.0088,0.0215,Aubignan,3920.0,Sqw
3949,Sq,Sq,0.1761,-0.309,0.106,0.1596,0.0215,0.0086,Mach,3949.0,Sq
4038,,Vw,0.2529,1.1441,0.2926,-0.1791,0.1398,-0.0909,Kristina,4038.0,Vw
4055,,V,0.0288,0.3319,1.1709,-0.2645,-0.1467,-0.011,Magellan,4055.0,V
4179,Sk,Sq,0.1562,-0.143,0.0974,0.0408,0.0416,-0.0098,Toutatis,4179.0,Sq
4188,V,V,0.166,0.4935,0.8254,-0.1066,0.1007,-0.0208,Kitezh,4188.0,V
4197,Sq,Sq,0.0768,-0.0944,0.0891,-0.0621,-0.0056,0.0326,Morpheus,4197.0,Sq
4352,S,S,0.1678,0.0187,0.0446,0.1405,-0.0021,-0.0004,Kyoto,4352.0,S
4407,Sa,Sqw,0.3786,-0.1573,-0.0039,0.2266,-0.0549,0.0109,Taihaku,4407.0,Sqw
4417,S,Sw,0.2541,-0.0185,-0.0066,0.1849,-0.0371,0.0033,Lecar,4417.0,Sw
4451,,Sv,0.242,0.5906,-0.0221,-0.0264,0.0122,-0.0038,Grieve,4451.0,Svw
4558,S,Sr,0.1245,0.1072,0.0897,-0.0154,-0.0412,0.0029,Janesick,4558.0,Sr
4570,Sa,S,0.244,0.2939,-0.1158,0.1608,-0.0636,0.0075,Runcorn,4570.0,Sw
4688,,Q,0.2132,-0.8539,0.3441,0.1742,-0.0777,0.0987,1980 WF,4688.0,Q
4713,A,Sw,0.4111,0.7832,-0.2321,0.0805,-0.075,0.0388,Steel,4713.0,Sw
4737,L,L,0.0665,0.7175,-0.3929,-0.0188,-0.0332,0.0214,Kiladze,4737.0,L
4995,S,S,0.1258,0.1929,0.0414,-0.0337,-0.0116,-0.0002,Griffin,4995.0,S
5013,SI,Sw,0.333,0.0119,-0.068,0.2286,0.0571,0.0177,Suzhousanzhong,5013.0,Sw
5111,R,V,0.2066,0.5694,0.598,-0.1307,-0.011,0.0267,Jacliff,5111.0,V
5143,O,O,0.0624,-0.7842,0.2619,0.1289,0.0385,0.0105,Heracles,5143.0,Q
5230,S,S,0.1724,0.0673,0.0493,0.0494,-0.0373,0.0338,Asahina,5230.0,S
5261,Sr,Sa,0.4876,-0.9836,0.0731,0.2496,-0.1272,0.0817,Eureka,5261.0,Sa
5401,S,S,0.2466,0.3363,-0.0713,0.0723,0.0597,0.0195,Minamioda,5401.0,Sw
5407,Sk,S,0.061,0.1156,0.0172,-0.0276,0.0713,0.0066,1992 AX,5407.0,S
5587,Sq,Sr,0.1093,-0.0387,0.1404,-0.0431,0.0934,-0.0007,1990 SB,5587.0,Sr
5604,,V,-0.0059,0.6429,0.8645,-0.1587,-0.0781,0.0369,1992 FE,5604.0,V
5641,A,Sw,0.4133,0.2838,0.0066,0.1999,-0.0199,-0.002,McCleese,5641.0,Sw
5660,Q,Q,0.1684,-0.708,0.2413,0.2213,-0.1278,-0.0252,1974 MA,5660.0,Q
5685,S,S,0.1178,0.1648,-0.0382,0.0419,-0.0482,-0.0008,Sanenobufukui,5685.0,S
5817,S,Sr,0.1528,0.299,0.0282,0.0697,-0.0362,0.0398,Robertfrazer,5817.0,Sr
5840,Ld,L,0.0615,0.8321,-0.4394,0.0799,-0.1078,-0.0157,Raybrown,5840.0,L
6047,S,S,0.1583,0.1579,0.0214,-0.0754,-0.1487,-0.0642,1991 TB1,6047.0,S
6239,,Sqw,0.2828,-0.3266,0.1338,0.1199,0.0834,-0.0296,Minos,6239.0,Sqw
6386,S,S,0.2317,0.1362,-0.001,0.1592,0.0515,-0.0416,Keithnoll,6386.0,S
6411,,B,-0.1275,-0.2972,-0.1149,-0.1956,-0.0424,0.0111,Tamaga,6411.0,B
6455,S,Srw,0.3291,0.4061,0.1819,0.2023,0.2276,-0.0038,1992 HE,6455.0,Srw
6585,Sk,S,0.1147,0.0539,0.0586,0.0118,0.0238,0.036,O'Keefe,6585.0,S
7341,Sq,Q,0.0773,-0.451,0.1878,0.1417,-0.0197,-0.0155,1991 VK,7341.0,Q
7763,L,L,0.0369,0.5498,-0.3018,0.0234,-0.0294,-0.0188,Crabeels,7763.0,L
8334,S,S,0.1609,0.0801,-0.014,0.0857,0.0747,0.0277,1984 CF,8334.0,S
8444,,S,0.1777,0.23,-0.0559,0.141,-0.0224,0.0044,Popovich,8444.0,S
17274,,X,0.4237,-0.3824,-0.0526,-0.2156,-0.0445,-0.0349,2000 LC16,17274.0,D
18736,,Sw,0.2492,0.0387,0.0908,0.0723,0.1699,-0.023,1998 NU,18736.0,Sw
19127,,Qw,0.2832,-0.3785,0.2522,-0.0087,-0.172,-0.1393,Olegefremov,19127.0,Srw
19356,S,Sq,0.1229,-0.1385,0.1343,0.109,-0.0537,0.0019,1997 GH3,19356.0,Sq
20786,,Sq,0.0695,-0.3133,0.0392,-0.2523,-0.0629,-0.0224,2000 RG62,20786.0,Sq
20790,,S,0.0486,0.2985,-0.006,-0.035,0.0465,-0.0096,2000 SE45,20790.0,S
22771,,S,0.2264,0.6273,-0.1888,0.0128,0.0341,-0.0321,1999 CU3,22771.0,S
24475,,Sw,0.2774,0.7547,-0.2018,0.1522,0.0178,-0.0313,2000 VN2,24475.0,Sw
35107,,Sq,0.2409,-0.3046,0.13,0.1665,0.0219,0.0273,1991 VH,35107.0,Sq
36284,,K,0.1107,-0.1968,-0.0413,0.0979,0.0223,-0.0324,2000 DM8,36284.0,K
53435,,Srw,0.3577,0.3091,0.0856,-0.0179,0.0047,0.0077,1999 VM40,53435.0,Srw
54690,,S,0.202,0.5061,-0.2364,-0.0731,0.0468,0.001,2001 EB,54690.0,S
66146,,Q,0.0858,-0.5855,0.1891,0.1026,-0.0367,-0.0099,1998 TU3,66146.0,Q
86450,,L,0.118,0.3649,-0.2185,-0.0743,0.1205,-0.0517,2000 CK33,86450.0,L
86819,,Sq,0.168,-0.295,0.12,0.2179,-0.0268,-0.0452,2000 GK137,86819.0,Sq
89355,,Sr,0.2111,0.2369,0.0799,0.061,0.0568,0.0161,2001 VS78,89355.0,Sr
98943,,Sw,0.3928,0.2022,-0.0203,0.0259,0.1419,-0.0436,2001 CC21,98943.0,Sw
137062,Sq,Sr,0.1011,0.3418,0.2032,0.2097,0.2369,0.0584,1998 WM,137062.0,Sr
1989VA,Sq,Sr,0.1541,-0.1192,0.2803,0.1263,0.1758,0.053,1989 VA,99907.0,Sr
1997AE12,,Q,0.1561,-0.5143,0.228,0.1113,-0.0834,-0.0288,1997 AE12,162058.0,Q
2000GD2,,Q,0.0732,-0.3689,0.1455,0.0965,0.0418,-0.0597,2000 GD2,138258.0,Sq
2000PG3,,D,0.43,0.3343,-0.2655,-0.2128,0.0289,-0.0332,2000 PG3,401857.0,D
2000XL44,,S,0.224,-0.0382,0.0331,0.1544,0.0537,-0.0624,2000 XL44,162781.0,S
2001TX16,,X,0.2436,-0.012,-0.1664,-0.2179,0.0668,-0.0506,2001 TX16,405058.0,X
2001XN254,,S,0.1939,0.3016,-0.0733,0.0756,-0.0163,-0.0943,2001 XN254,200840.0,S
2002AA,,S,0.0267,0.1247,0.0117,-0.0773,-0.0387,-0.0345,2002 AA,302311.0,S
